,State,Cases,Case_bins,Case_bins_labels
0,Andhra Pradesh,4882,"(1000, 5000]",2
1,Assam,3051,"(1000, 5000]",2
2,Bihar,5455,"(5000, 20000]",3
3,Chandigarh,326,"(100, 1000]",1
4,Chhattisgarh,1211,"(1000, 5000]",2
5,NCT of Delhi,31309,"(20000, 50000]",4
6,Goa,359,"(100, 1000]",1
7,Gujarat,21044,"(20000, 50000]",4
8,Haryana,5209,"(5000, 20000]",3
9,Himachal Pradesh,437,"(100, 1000]",1
10,Jammu & Kashmir,4454,"(1000, 5000]",2
11,Jharkhand,1416,"(1000, 5000]",2
12,Karnataka,5921,"(5000, 20000]",3
13,Kerala,2097,"(1000, 5000]",2
14,Madhya Pradesh,9849,"(5000, 20000]",3
15,Maharashtra,90787,"(50000, 100000]",5
16,Manipur,304,"(100, 1000]",1
17,Nagaland,127,"(100, 1000]",1
18,Odisha,3140,"(1000, 5000]",2
19,Puducherry,132,"(100, 1000]",1
20,Punjab,2719,"(1000, 5000]",2
21,Rajasthan,11245,"(5000, 20000]",3
22,Tamil Nadu,34914,"(20000, 50000]",4
23,Telangana,3920,"(1000, 5000]",2
24,Tripura,866,"(100, 1000]",1
25,Uttar Pradesh,11335,"(5000, 20000]",3
26,Uttarakhand,1537,"(1000, 5000]",2
27,West Bengal,8985,"(5000, 20000]",3
